"id","title","category","release_year","runtime_minutes","rating","usd_earnings"
1,"The Godfather: Part III","Gangsters",1990,162,"8","136861392"
2,"Pirates of the Caribbean: Dead Men Tell No Tales","Adventurous",2017,129,"6.8","794881442"
3,"Indiana Jones and the Temple of Doom","Adventurous",1984,118,"7.5","333107271"
4,"Indiana Jones and the Last Crusade","Adventurous",1989,127,"7.7","474171806"
5,"Rogue One: A Star Wars Story","Sci-Fi",2016,133,"7.4","1058682142"
6,"Star Wars: Episode II - Attack of the Clones","Sci-Fi",2002,142,"7.2","653779970"
7,"Star Wars: Episode III - Revenge of the Sith","Sci-Fi",2005,140,"7.6","868390560"
8,"Star Wars: Episode I - The Phantom Menace","Sci-Fi",1999,136,"7.2","1027082707"
9,"Raiders of the Lost Ark","Adventurous",1981,115,"7.7","389925971"
10,"The Hobbit: The Battle of the Five Armies","Fantasy",2014,144,"7.2","962201338"
